"BugId","GT","Prof 1","Prof 2","Prof 3","Prof 4","Prof 5","Prof 6","Prof 7","Prof 8","Prof 9","Prof 10","Prof 11","Prof 12"
"51085","57","30","59","23","59","0.0","33","0.0","0.0","32","0.0","67","0.0"
"50534","59","28","65","32","49","0.0","14","0.0","0.0","2","0.0","40","0.0"
"40060","33","32","31","7","32","0.0","3","0.0","24","19","0.0","48","0.0"
"40725","33","14","40","26","32","0.0","18","0.0","31","69","0.0","19","0.0"
"71747","59","19","31","67","13","0.0","14","0.0","0.0","28","0.0","45","0.0"
"39024","15","39","49","26","48","0.0","75","0.0","28","32","0.0","57","0.0"
"64362","75","61","13","48","65","0.0","49","0.0","0.0","49","0.0","48","0.0"
"50572","59","26","59","57","48","0.0","32","0.0","0.0","23","0.0","11","0.0"
"49811","59","28","39","32","49","0.0","56","0.0","0.0","32","0.0","26","0.0"
"42138","15","45","19","24","48","0.0","49","0.0","0.0","28","59","59","0.0"
"50631","56","32","57","28","37","0.0","24","0.0","0.0","19","0.0","3","0.0"
"48849","65","4","32","24","24","0.0","14","0.0","0.0","49","0.0","1","0.0"
"45729","73","28","23","61","65","0.0","15","0.0","0.0","54","0.0","18","0.0"
"50438","71","39","32","9","39","0.0","49","0.0","0.0","49","0.0","57","0.0"
"63832","57","56","39","67","10","0.0","48","0.0","0.0","51","0.0","45","0.0"
"40916","57","28","63","61","18","0.0","69","0.0","0.0","14","32","31","0.0"
"42120","22","2","32","56","9","0.0","48","0.0","0.0","39","23","45","0.0"
"39772","56","19","13","15","32","0.0","2","0.0","19","57","0.0","24","0.0"
"42185","3","19","19","23","33","0.0","2","0.0","0.0","13","67","28","0.0"
"41090","28","65","67","75","30","0.0","17","0.0","0.0","16","57","32","0.0"
